"Attribute","ValueDecode"
BCNSHP,1;Stake. Pole. Perch. Post;2;Withy;3;BeaconTower;4;Lattice Beacon;5;Pile Beacon;6;Cairn;7;Bouyant Beacon
BUISHP,1;no specific shape;2;tower;3;spire;4;cupola (dome);5;high-rise building;6;pyramid;7;cylindrical;8;spherical;9;cubic
BOYSHP,1;conical (nun);2;can (cylindrical);3;spherical;4;pillar;5;spar (spindle);6;barrel (tun);7;super-buoy;8;ice buoy
CATAIR,1;military aeroplane airport;2;civil aeroplane airport;3;military heliport;4;civil heliport;5;glider arifield;6;small planes airfield;8;emergency airfield
CATACH,1;unrestricted anchorage;2;deep water anchorage;3;tanker anchorage;4;explosives anchorage;5;quarantine anchorage;6;sea-plane anchorage;7;small craft anchorage;8;small craft mooring area;9;anchorage for periods up to 24 hours;10;anchorage for a limited period of time
CATBRG,1;fixed bridge;2;opening bridge;3;swing bridge;4;lifting bridge;5;bascule bridge;6;pontoon bridge;7;draw bridge;8;transporter bridge;9;footbridge;10;viaduct;11;aqueduct;12;suspension bridge
CATBUA,1;urban area;2;settlement;3;village;4;town;5;city;6;holiday village
CATCBL,1;power line;2;telephone/telegraph;3;transmission line;4;telephone;5;telegraph;6;mooring cable/chain
CATCAN,1;transportation;2;drainage;3;irrigation
CATCAM,1;north cardinal mark;2;east cardinal mark;3;south cardinal mark;4;west cardinal mark
CATCHP,1;custom
CATCOA,1;steep coast;2;flat coast;3;sandy shore;4;stony shore;5;shingly shore;6;glacier (seaward end);7;mangrove;8;marshy shore;9;coral reef;10;ice coast;11;shelly shore
CATCTR,1;triangulation point;2;observation spot;3;fixed point;4;bench-mark;5;boundary mark;6;horizontal control| main station;7;horizontal control| secondary station
CATCON,1;aerial cableway (telepheric);2;belt conveyor
CATCOV,1;coverage available;2;no coverage available
CATCRN,1;crane without specific construction;2;container crane/gantry;3;sheerlegs;4;travelling crane;5;A-frame
CATDAM,1;weir;2;dam;3;flood barrage
CATDIS,1;distance mark not physically installed;2;visible mark pole;3;visible mark board;4;visible mark unknown shape
CATDOC,1;tidal;2;non-tidal (wet dock)
CATDPG,1;general dumping ground;2;chemical waste dumping ground;3;nuclear waste dumping ground;4;explosives dumping ground;5;spoil ground;6;vessel dumping ground
CATFNC,1;fence;2;muir;3;hedge;4;wall
CATFRY,1;'free moving' ferry;2;cable ferry;3;ice ferry
CATFIF,1;fishing stake;2;fish trap;3;fish weir;4;tunny net
CATFOG,1;explosive;2;diaphone;3;siren;4;nautophone;5;reed;6;tyfon;7;bell;8;whistle;9;gong;10;horn
CATFOR,1;castle;2;fort;3;battery;4;blockhouse;5;Martello tower;6;redoubt
CATGAT,1;gate in general;2;flood barrage gate;3;caisson;4;lock gate;5;dyke gate;6;sluice
CATHAF,1;RoRo-terminal;2;timber yard;3;ferry terminal;4;fishing harbour;5;yacht harbour/marina;6;naval base;7;tanker terminal;8;passenger terminal;9;shipyard;10;container terminal;11;bulk terminal;12;syncrolift;13;straddle carrier
CATHLK,1;floating restaurant;2;historic ship;3;museum;4;accommodation;5;floating breakwater
CATICE,1;fast ice;2;sea ice;3;growler area;4;pancake ice;5;glacier;6;ice peak;7;pack ice;8;polar ice
CATLND,1;fen;2;marsh;3;moor/bog;4;heathland;5;mountain range;6;lowlands;7;canyon lands;8;paddy field;9;agricultural land;10;savanna/grassland;11;parkland;12;swamp;13;landslide;14;lava flow;15;salt pan;16;moraine;17;crater;18;cave;19;rock column or pinnacle;20;cay
CATLMK,1;cairn;2;cemetery;3;chimney;4;dish aerial;5;flagstaff (flagpole);6;flare stack;7;mast;8;windsock;9;monument;10;column (pillar);11;memorial plaque;12;obelisk;13;statue;14;cross;15;dome;16;radar scanner;17;tower;18;windmill;19;windmotor;20;spire/minaret;21;large rock or boulder on land;22;large rock or boulder on land
CATLAM,1;port-hand lateral mark;2;starboard-hand lateral mark;3;preferred channel to starboard lateral mark;4;preferred channel to port lateral mark
CATLIT,1;directional function;2;rear/upper light;3;front/lower light;4;leading light;5;aero light;6;air obstruction light;7;fog detector light;8;flood light;9;strip light;10;subsidiary light;11;spotlight;12;front;13;rear;14;lower;15;upper;16;moire effect;17;emergency;18;bearing light;19;horizontally disposed;20;vertically disposed
CATMFA,1;crustaceans;2;oysters/mussels;3;fish;4;seaweed;5;pearl culture farm
CATMPA,1;practice area in general;2;torpedo exercise area;3;submarine exercise area;4;firing danger area;5;mine-laying practice area;6;small arms firing range
CATMOR,1;dolphin;2;deviation dolphin;3;bollard;4;tie-up wall;5;post or pile;6;chain/wire/cable;7;mooring buoy
CATNAV,1;clearing line;2;transit line;3;leading line bearing a recommended track
CATOBS,1;snag/stump;2;wellhead;3;diffuser;4;crib;5;fish haven;6;foul area;7;foul ground;8;ice boom;9;ground tackle;10;boom
CATOFP,1;oil derrick/rig;2;production platform;3;observation/research platform;4;articulated loading platform (ALP);5;single anchor leg mooring (SALM);6;mooring tower;7;artificial island;8;floating production| storage and off-loading vessel (FPSO);9;accommodation platform;10;navigation| communication and control buoy (NCCB)
CATOLB,1;oil retention (high pressure pipe);2;floating oil barrier
CATPLE,1;stake;2;snag;3;post;4;tripodal
CATPIL,1;boarding by pilot-cruising vessel;2;boarding by helicopter;3;pilot comes out from shore
CATPIP,2;outfall pipe;3;intake pipe;4;sewer;5;bubbler system;6;supply pipe
CATPRA,1;quarry;2;mine;3;stockpile;4;power station area;5;refinery area;6;timber yard;7;factory area;8;tank farm;9;wind farm;10;slag heap/spoil heap
CATPYL,1;power transmission pylon/pole;2;telephone/telegraph pylon/pole;3;aerial cableway/sky pylon;4;bridge pylon/tower;5;bridge pier
CATRAS,1;radar surveillance station
CATRTB,1;ramark| radar beacon transmitting continuously;2;racon| radar transponder beacon;3;leading racon/radar transponder beacon
CATROS,1;circular (non-directional) marine or| aero-marine radiobeacon;2;directional radiobeacon;3;rotating-pattern radiobeacon;4;Consol beacon;5;radio direction-finding station;6;coast radio station providing QTG service;7;aeronautical radiobeacon;8;Decca;9;Loran C;10;Differential GPS;11;Toran;12;Omega;13;Syledis;14;Chaika (Chayka)
CATTRK,1;based on a system of fixed marks;2;not based on a system of fixed marks
CATRSC,1;rescue station with lifeboat;2;rescue station with rocket;3;rescue station with lifeboat and rocket;4;refuge for shipwrecked mariners;5;refuge for intertidal area walkers;6;lifeboat lying at a mooring;7;aid radio station;8;first aid equipment
CATREA,1;offshore safety zone;2;anchoring prohibition area;3;fishing prohibition area;4;nature reserve;5;bird sanctuary;6;game reserve;7;seal sanctuary;8;degaussing range;9;military area;10;historic wreck area;11;inshore traffic zone;12;navigational aid safety zone;13;danger of stranding area;14;minefield;15;diving prohibition area;16;area to be avoided;17;Prohibited area;18;swimming area;19;waiting area;20;research area;21;dredging area;22;fish sanctuary;23;ecological reserve;24;no wake area;25;swinging area;26;water skiing area
CATROD,1;motorway;2;major road;3;minor road;4;track/path;5;major street;6;minor street;7;crossing
CATRUN,1;aeroplane runway;2;helicopter landing pad
CATSEA,1;sea area in general;2;gat;3;bank;4;deep;5;bay;6;trench;7;basin;8;mud flats;9;reef;10;ledge;11;canyon;12;narrows;13;shoal;14;knoll;15;ridge;16;seamount;17;pinnacle;18;abyssal plain;19;plateau;20;spur;21;shelf;22;trough;23;saddle;24;abyssal hills;25;apron;26;archipelagic apron;27;borderland;28;continental margin;29;continental rise;30;escarpment;31;fan;32;fracture zone;33;gap;34;guyot;35;hill;36;hole;37;levee;38;median valley;39;moat;40;mountains;41;peak;42;province;43;rise;44;sea channel;45;seamount chain;46;shelf-edge;47;sill;48;slope;49;terrace;50;valley;51;canal;52;lake;53;river;54;reach
CATSLC,1;breakwater;2;groyne (groin);3;mole;4;pier (jetty);5;promenade pier;6;wharf (quay);7;training wall;8;rip rap;9;revetment;10;sea wall;11;landing steps;12;ramp;13;slipway;14;fender;15;solid face wharf;16;open face wharf;17;log ramp
CATSIT,1;port control;2;port entry and departure;3;International Port Traffic;4;berthing;5;dock;6;lock;7;flood barrage;8;bridge passage;9;dredging;10;traffic control light
CATSIW,1;danger;2;maritime obstruction;3;cable;4;military practice;5;distress;6;weather;7;storm;8;ice;9;time;10;tide;11;tidal stream;12;tide gauge;13;tide scale;14;diving;15;water level gauge
CATSIL,1;silo in general;2;tank in general;3;grain elevator;4;water tower
CATSLO,1;cutting;2;embankment;3;dune;4;hill;5;pingo;6;cliff;7;scree
CATSCF,1;visitor berth;2;nautical club;3;boat hoist;4;sailmaker;5;boatyard;6;public inn;7;restaurant;8;chandler;9;provisions;10;doctor;11;pharmacy;12;water tap;13;fuel station;14;electricity;15;bottle gas;16;showers;17;launderette;18;public toilets;19;post box;20;public telephone;21;refuse bin;22;car park;23;parking for boats and trailers;24;caravan site;25;camping site;26;sewerage pump-out station;27;emergency telephone;28;landing/launching place for boats;29;visitors mooring;30;scrubbing berth;31;picnic area;32;mechanics workshop;33;guard and/or security service
CATSPM,1;firing danger area mark;2;target mark;3;marker ship mark;4;degaussing range mark;5;barge mark;6;cable mark;7;spoil ground mark;8;outfall mark;9;ODAS (Ocean-Data-Acquisition-System);10;recording mark;11;seaplane anchorage mark;12;recreation zone mark;13;private mark;14;mooring mark;15;LANBY (Large Automatic Navigational Buoy);16;leading mark;17;measured distance mark;18;notice mark;19;TSS mark (Traffic Separation Scheme);20;anchoring prohibited mark;21;berthing prohibited mark;22;overtaking prohibited mark;23;two-way traffic prohibited mark;24;reduced wake mark;25;speed limit mark;26;stop mark;27;general warning mark;28;sound ship siren mark;29;restricted vertical clearance mark;30;maximum vessel draught mark;31;restricted horizontal clearance mark;32;strong current warning mark;33;berthing permitted mark;34;overhead power cable mark;35;channel edge gradient mark;36;telephone mark;37;ferry crossing mark;38;marine traffic lights;39;pipeline mark;40;anchorage mark;41;clearing mark;42;control mark;43;diving mark;44;refuge beacon;45;foul ground mark;46;yachting mark;47;heliport mark;48;GPS mark;49;seaplane landing mark;50;entry prohibited mark;51;work in progress mark;52;mark with unknown purpose;53;wellhead mark;54;channel separation mark;55;marine farm mark;56;artificial reef mark
CATTSS,1;IMO - adopted;2;not IMO - adopted
CATVEG,1;grass;2;paddy field;3;bush;4;deciduous wood;5;coniferous wood;6;wood in general (inc mixed wood);7;mangroves;8;park;9;parkland;10;mixed crops;11;reed;12;moss;13;tree in general;14;evergreen tree;15;coniferous tree;16;palm tree;17;nipa palm tree;18;casuarina tree;19;eucalypt tree;20;deciduous tree;21;mangrove tree;22;filao tree
CATWAT,1;breakers;2;eddies;3;overfalls;4;tide rips;5;bombora
CATWED,1;kelp;2;sea weed;3;sea grass;4;saragasso
CATWRK,1;non-dangerous wreck;2;dangerous wreck;3;distributed remains of wreck;4;wreck showing mast/masts;5;wreck showing any portion of hull or superstructure
CATZOC,1;zone of confidence A1;2;zone of confidence A2;3;zone of confidence B;4;zone of confidence C;5;zone of confidence D;6;zone of confidence U (data not assessed)
COLOUR,1;white;2;black;3;red;4;green;5;blue;6;yellow;7;grey;8;brown;9;amber;10;violet;11;orange;12;magenta;13;pink
COLPAT,1;horizontal stripes;2;vertical stripes;3;diagonal stripes;4;squared;5;stripes (direction unknown);6;border stripe
CONRAD,1;radar conspicuous;2;not radar conspicuous;3;radar conspicuous (has radar reflector)
CONVIS,1;visually conspicuous;2;not visually conspicuous
EXCLIT,1;light shown without change of character;2;daytime light;3;fog light;4;night light
FUNCTN,2;harbour-master's office;3;custom office;4;health office;5;hospital;6;post office;7;hotel;8;railway station;9;police station;10;water-police station;11;pilot office;12;pilot lookout;13;bank office;14;headquarters for district control;15;transit shed/warehouse;16;factory;17;power station;18;administrative;19;educational facility;20;church;21;chapel;22;temple;23;pagoda;24;shinto shrine;25;buddhist temple;26;mosque;27;marabout;28;lookout;29;communication;30;television;31;radio;32;radar;33;light support;34;microwave;35;cooling;36;observation;37;time ball;38;clock;39;control;40;airship mooring;41;stadium;42;bus station
JRSDTN,1;international;2;national;3;national sub-division
LITCHR,1;fixed;2;flashing;3;long-flashing;4;quick flashing;5;very quick flashing;6;ultra quick flashing;7;isophased;8;occulting;9;interrupted quick flashing;10;interrupted very quick flashing;11;interrupted ultra-quick flashing;12;morse;13;fixed/flash;14;flash/long-flash;15;occulting;16;fixed/long flash;17;occulting;18;long-flash;19;flash;20;group;25;quick flash;26;very quick flash;27;ultra quick flash;28;alternating;29;fixed and alternating flashing
LITVIS,4;intensified
NATCON,1;masonry;2;concreted;3;loose boulders;4;hard surfaced;5;unsurfaced;6;wooden;7;metal;8;glass reinforced plastic;9;painted
NATSUR,9;rock
PRODCT,1;oil;2;gas;3;water;4;stone;5;coal;6;ore;7;chemicals;8;drinking water;9;milk;10;bauxite;11;coke;12;iron ingots;13;salt;14;sand;15;timber;16;sawdust/woodchips;17;scrap metal;18;liquified natural gas;19;liquified petroleum gas;20;wine;21;cement;22;grain
QUASOU,1;depth known;2;depth unknown;3;doubtful sounding;4;unreliable sounding;5;no bottom found at value shown;6;least depth known;7;least depth unknown - safe clearance at value shown;8;value reported (not surveyed);9;value reported (not confirmed);10;maintained depth;11;not regularly maintained
RESTRN,1;anchoring prohibited;2;anchoring restricted;3;fishing prohibited;4;fishing restricted;5;trawling prohibited;6;trawling restricted;7;entry prohibited;8;entry restricted;9;dredging prohibited;10;dredging restricted;11;diving prohibited;12;diving restricted;13;no wake;14;area to be avoided;15;construction prohibited;16;discharging prohibited;17;discharging restricted;18;industrial or mineral exploration/development prohibited;19;industrial or mineral exploration/development restricted;20;drilling prohibited;21;drilling rstricted;22;removal of historical artifacts prohibited;23;cargo transshipment (lightering) prohibited;24;dragging prohibted;25;stopping prohibited;26;landing prohibited;27;speed restricted
SIGGEN,1;automatically;2;by wave action
STATUS,2;occasional;3;recommended;4;not in use;8;private;9;mandatory;12;illuminated;14;public;16;watched;17;un-watched
SURTYP,2;controlled survey
TECSOU,1;found by echo-sounder;2;found by side-scan-sonar;3;found by multi-beam;4;found by diver;5;found by lead-line;6;swept by wire-drag;7;found by laser;8;swept by vertical acoustic system;9;found by electromagnetic sensor;10;photogrammetry;11;satellite imagery;12;found by levelling;13;swept by side-scan-sonar;14;computer generated
TOPSHP,12;rhombus;19;square;24;triangle point up;1;cone. point up;2;cone. point down;3;sphere;4;2 spheres;5;cylinder (can);6;board;7;x-shape (St. Andrew's cross);8;upright cross (St George's cross);9;cube. point up;10;2 cones. point to point;11;2 cones. base to base;13;2 cones (points upward);14;2 cones (points downward);15;besom. point up (broom or perch);16;besom. point down (broom or perch);17;flag;18;sphere over rhombus;20;rectangle. horizontal;21;rectangle. vertical;22;trapezium. up;23;trapezium. down;25;triangle. point down;26;circle;27;two upright crosses (one over the other);28;T-shape;29;triangle pointing up over a circle;30;upright cross over a circle;31;rhombus over a circle;32;circle over a triangle pointing up;33;other shape (see INFORM)
TRAFIC,1;inbound;2;outbbound;3;one-way;4;two-way
WATLEV,1;partly submerged at high water;2;always dry;3;always under water/submerged;4;covers and uncovers;5;awash;6;subject to inundation or flooding;7;floating
CAT_TS,1;flood stream;2;ebb stream;3;Other tidal flow
QUAPOS,4;approximate;10;precisely known
catach,1;unrestricted anchorage;2;deep water anchorage;3;tanker anchorage;4;explosives anchorage;5;quarantine anchorage;6;sea-plane anchorage;7;small craft anchorage;9;anchorage for periods up to 24 hours;10;anchorage for pushing-navigation vessels;11;anchorage for other vessels than pushing-navigation vessels
catsit,2;port entry and departure;6;lock;8;bridge passage;10;oncomig traffic indication
catsiw,15;high water mark;16;vertical clearance indication;18;depth indication
restrn,1;anchoring prohibited;2;anchoring restricted;7;entry prohibited;8;entry restricted;13;no wake;14;area to be avoided;27;speed restricted;28;overtaking prohibited;29;overtaking of convoys by convoys prohibited;30;passing or overtaking prohibited;31;berthing prohibited;32;berthing restricted;33;making fast prohibited;34;making fast restricted;35;turning prohibited;36;restricted fairway depth
verdat,12;Mean lower low water;31;Local low water reference level;32;Local high water reference level;33;Local mean water reference level;34;Equivalent height of water (German GlW);35;Highest Shipping Height of Water (German HSW);36;Reference low water level according to Danube Commission;37;Highest shipping height of water according to Danube Commission;38;Dutch river low water reference level (OLR);39;Russian project water level;40;Russian normal backwater level;41;Ohio River Datum
catfry,4;swinging wire ferry
cathaf,1;RoRo-terminal;3;ferry terminal;4;fishing harbour;6;naval base;7;tanker terminal;8;passenger terminal;9;shipyard;10;container terminal;11;bulk terminal;12;syncrolift;13;straddle carrier;16;service and repair;17;quarantine station
marsys,1;IALA A;2;IALA B;9;no system;10;other sytem;11;CEVNI;12;Russian inland waterway regulations
catchp,1;custom;2;border
catlam,1;port-hand lateral mark;2;starboard-hand lateral mark;3;preferred channel to starboard lateral mark;4;preferred channel to port lateral mark;5;right-hand side of the waterway;6;left-hand side of the waterway;7;right-hand side of the channel;8;left-hand side of the channel;9;bifurcation of the waterway;10;bifurcation of the channel;11;channel near the right bank;12;channel near the left bank;13;channel cross-over to the right bank;14;channel cross-over to the left bank;15;danger point or obstacles at the right-hand side;16;obstruction at the left-hand side;17;turn off at the right-hand side;18;turn off at the left-hand side;19;junction at the right-hand side;20;junction at the left-hand side;21;harbour entry at the right-hand side;22;harbour entry at the left-hand side;23;bridge pier mark
catslc,7;training wall;18;lock/guide wall
addmrk,1;top (board);2;bottom (board);3;right (triangle to the right);4;left (triangle to the left);5;bottom (triangle to the bottom)
catnmk,1;(A.1) no entry;2;(A.1a) closed area. but small craft boats without engine permitted (only RheinSchPV and Binnenvaatpolitiereglement);3;(A.2) no overtaking;4;(A.3) no overtaking of convoys by convoys;5;(A.4) no passing or overtaking;6;(A.5) no berthing (i.e. no anchoring or making fast to the bank);7;(A.5.1) no berthing within the breadth indicated in meters(measured from the sign);8;(A.6) no anchoring or trailing of anchors. cables or chains;9;(A.7) no making fast to the bank;10;(A.8) no turning;11;(A.9) Do not create wash;12;(A.10) no passing on left side (in openings of bridges or weirs);13;(A.10) no passing on right side (in openings of bridges or weirs);14;(A.12) motorized craft prohibited;15;(A.13) all sports and pleasure craft prohibited;16;(A.14) water skiing prohibited;17;(A.15) sailing vessels prohibited;18;(A.16) all craft other than motorized vessels or sailing craft prohibited;19;(A.17) use of sailboards prohibited;20;(A.20) water bikes prohibited;21;(A.18) end of zone authorized for high speed navigation of small sport and pleasure craft prohibited;22;(A.19) no launching or beaching of vessels;23;(B.1) proceed in left direction;24;(B.1) proceed in right direction;25;(B.2a) move to the side of the channel on your port side;26;(B.2b) move to the side of the channel on your starboard side;27;(B.3a) keep on the side of the channel on your portside;28;(B.3b) keep on the side of the channel on your starboard side;29;(B.4a) cross channel to port;30;(B.4b) cross channel to starboard;31;(B.5) stop as prescribed in the regulations;32;(B.6) do not exceed the speed indicated (in km/h);33;(B.7) give a sound signal;34;(B.8) keep a particulary sharp lookout;35;(B.9a) do not enter the main waterway until certain that this will not oblige vessels proceeding on it to change their course or speed;36;(B.9b) do not cross the main waterway until certain that this will not oblige vessels proceeding on it to change their course or speed;37;(B.11) obligation to enter into a radiotelephone link on the channel as indicated on the board;38;(C.1) depth of water limited;39;(C.2) headroom limited;40;(C.3) width of passage or channel limited;41;(C.4) there are restrictions on navigation: make inquiries (with additional sign at bottom of main sign);42;(C.5) the channel lies at a distance from the left bank;43;(C.5) the channel lies at a distance from the right bank;44;(D.1a) recommended channel in both directions;45;(D.1b) recommended channel only in the direction indicated. passage in the opposite direction prohibited (at bridges);46;(D.2) you are recommended to keep on right side (in openings of bridges and weirs);47;(D.2) you are recommended to keep on left side (in openings of bridges and weirs);48;(D.3) you are recommended to proceed in the left direction;49;(D.3) you are recommended to proceed in the right direction;50;(E.1) entry permitted (general sign);51;(E.2) overhead cable crossing;52;(E.3) weir;53;(E.4a) ferry-boat not moving independently;54;(E.4b) ferry-boat moving independently;55;(E.5) berthing (i.e. no anchoring or making fast to the bank) permitted;56;(E.5.1) berthing permitted on the stretch of water of the breadth measured from. and shown on the board in meters;57;(E.5.2) berthing permitted on the stretch of water bounded by the distances measured from. and shown on the board in meters;58;(E.5.3) maximum number of vessels permitted to berth abreast;59;(E.5.4) berthing area reserved for pushing-navigation vessels that are not required to carry blue lights or blue cones;60;(E.5.5) berthing area reserved for pushing-navigation vessels that are required to carry one blue light or one blue cone;61;(E.5.6) berthing area reserved for pushing-navigation vessels that are required to carry two blue lights or two blue cones;62;(E.5.7) berthing area reserved for pushing-navigation vessels that are required to carry three blue lights or three blue cones;63;(E.5.8) berthing area reserved for vessels other than pushing-navigation vessels that are not required to carry blue lights or blue cones;64;(E.5.9) berthing area reserved for vessels other than for pushing-navigation vessels that are required to carry one blue light or one blue cone;65;(E.5.10) berthing area reserved for vessels other than for pushing-navigation vessels that are required to carry two blue lights or two blue cones;66;(E.5.11) berthing area reserved for vessels other than for pushing-navigation vessels that are required to carry three blue lights or three blue cones;67;(E.5.12) berthing area reserved for all vessels that are not required to carry blue lights or blue cones;68;(E.5.13) berthing area reserved for all vessels that are required to carry one blue light or one blue cone;69;(E.5.14) berthing area reserved for all vessels that are required to carry two blue lights or two blue cones;70;(E.5.15) berthing area reserved for all vessels that are required to carry three blue lights or three blue cones;71;(E.6) anchoring or trailing of anchors. cables or chains permitted;72;(E.7) making fast to the bank permitted;73;(E.7.1) berthing area reserved for loading and unloading of vehicles;74;(E.8) turning area;75;(E.9a) crossing with secondary waterway ahead;76;(E.9b) secondary waterway ahead on the right;77;(E.9c) secondary waterway ahead on the left;78;(E.9d) secondary waterway ahead. main waterway on the right;79;(E.9e) secondary waterway ahead. main waterwar on the left;80;(E.9f) secondary waterway on the left. main waterway on the right;81;(E.9g) secondary waterway on the right. main waterway on the left;82;(E.9h) secondary waterway ahead and on the left. main waterway on the right;83;(E.9i) secondary waterway ahead and on the right. main waterway on the left;84;(E.10a) crossing with main waterway ahead;85;(E.10b) main waterway ahead;86;(E.10c) junction with main waterway ahead and right;87;(E.10d) junction with main waterway ahead and left;88;(E.10e) junction with main waterway ahead and right. secondary waterway on the left;89;(E.10f) junction with main waterway ahead and left. secondary waterway on the right;90;(E.11) end of prohibition or obligation applying to traffic in one direction only. or end of a restriction;91;(E.13) drinking water supply;92;(E.14) telephone;93;(E.15) motorized vessels  permitted;94;(E.16) sport and pleasure craft permitted;95;(E.17) water skiing permitted;96;(E.18) sailing vessels permitted;97;(E.19) craft other than motorized vessels or sailing craft permitted;98;(E.20) use of sailboards permitted;99;(E.23) possibility of obtaining nautical information by radiotelephone on the channel indicated;100;(E.24) water bikes permitted;101;(E.21) zone authorized for high speed navigation of small sport and pleasure;102;(E.22) launching or beaching of vessels permitted
clsdng,1;one blue light / cone;2;two blue lights / cones;3;three blue lights / cones;4;no blue light / cone
dirimp,1;upstream;2;downstream;3;to the left bank;4;to the right bank
fnctnm,1;prohibition mark;2;regulation mark;3;restriction mark;4;recommendation mark;5;information mark
bunves,1;bunker vessel available;2;no bunker vessel available
catbrt,1;loading;2;unloading;3;overnight accommodation;4;berth for pushing-navigation vessels;5;berth for other vessels than pushing-navigation vessels;6;fleeting area;7;first class landing;8;second class landing
catbun,1;diesel oil;2;water;3;ballast
catccl,1;0 small vessels and pleasure craft;2;I peniche;3;II campine barge;4;III Dortmund-Ems barge;5;IV Rhine-Herne barge;6;Va Large Rhine barge. 1-barge push-tow unit;7;Vb 2-barge push-tow unit. long formation;8;VIa 2-barge push-tow unit. wide formation;9;VIb 4-barge push-tow unit;10;VIc 6-barge push-tow unit;11;No CEMT class
catcom,1;VTS centre;2;VTS sector;3;IVS point;4;MID;5;lock;6;bridge;7;custom;8;harbour
cathbr,1;custom harbour;2;port of refuge;3;yacht harbour/marina;4;fishing harbour;5;private harbour
catrfd,1;cargo residue/slop;2;waste oil;3;grey/black water;4;domestic refuse
trshgd,1;containers;2;bulk goods;3;oil;4;fuel;5;chemicals;6;liquid goods;7;explosive goods;8;fish;9;cars;10;general cargo
catgag,1;water level staff / pole;2;recording water level gauge;3;recording water level gauge with remote access;4;recording water level gauge with external indicator;5;recording water level gauge with remote access and remote indicator
reflev,1;Baltic datum;2;Adriatic level;3;Amsterdam Ordnance Datum (NAP);4;Mean Sea Level;5;Other datum;6;National Geodetic Vertical Datum - NGVD29;7;North American Vertical Datum - NAVD88;8;Mean sea level 1912;9;Mean sea level 1929
catvtr,1;official;2;private;3;suitable for car cranes;4;suitable for car planks;5;permission required;6;locked gate
cattab,1;operational period;2;non-operational period
useshp,1;liner trade;2;occasional professional shipping;3;leisure
catexs,1;Lift-Lock;2;Aqueduct;3;Sloping plane lock;4;Water slope lock (Pente d'Eau);5;Other
catcbl,1;power line;3;transmission line;4;telephone;5;telegraph;6;mooring cable/chain;7;ferry cable
cathlk,1;floating restaurant;2;historic ship;3;museum;4;accommodation;5;floating breakwater;6;casino boat
hunits,1;metres;2;feet;3;kilometres;4;hectometres;5;statute miles;6;nautical miles
watlev,1;partly submerged at high water;2;always dry;3;always under water/submerged;4;covers and uncovers;8;above mean water level;9;below mean water level
lg_spr,1;other;2;speed over ground;3;speed through water
lg_wdu,1;other;2;cubic meters;3;tonnes
lg_rel,1;other;2;usage of waterway;3;carriage of equipment;4;task.operation
lg_fnc,1;other;2;prohibited;3;prohibited. with exceptions;4;permitted;5;permitted. with exceptions;6;recommended;7;not recommended
lc_csi,1;all types;2;other;3;non-motorized vessel;5;craft;6;vessel;7;inland waterway vessel;8;sea going ship;9;motor vessel;10;motor tanker;11;motor cargo vessel;12;canal barge;13;tug;14;pusher;15;barge;16;tank barge;17;dumb barge;18;lighter;19;tank lighter;20;cargo lighter;21;ship borne lighter;22;passenger vessel;23;passenger sailing vessel;24;day trip vessel;25;cabin vessel;26;High-speed vessel;27;floating equipment;28;worksite craft;29;recreational craft;30;Dinghy;31;floating establishment;32;floating  object
lc_cse,1;all types;2;other;3;non-motorized vessel;5;craft;6;vessel;7;inland waterway vessel;8;sea going ship;9;motor vessel;10;motor tanker;11;motor cargo vessel;12;canal barge;13;tug;14;pusher;15;barge;16;tank barge;17;dumb barge;18;lighter;19;tank lighter;20;cargo lighter;21;ship borne lighter;22;passenger vessel;23;passenger sailing vessel;24;day trip vessel;25;cabin vessel;26;High-speed vessel;27;floating equipment;28;worksite craft;29;recreational craft;30;Dinghy;31;floating establishment;32;floating  object
lc_asi,1;all types;2;other;3;single vessel;5;convoy;6;formation;7;rigid convoy;8;pushed convoy;9;breasted up formation;10;towed convoy
lc_ase,1;all types;2;other;3;single vessel;5;convoy;6;formation;7;rigid convoy;8;pushed convoy;9;breasted up formation;10;towed convoy
lc_cci,1;all types;2;other;4;bulk;5;dry cargo;6;liquid cargo;7;liquid cargo (type N);8;liquid cargo (type C);9;gas
lc_cce,1;all types;2;other;4;bulk;5;dry cargo;6;liquid cargo;7;liquid cargo (type N);8;liquid cargo (type C);9;gas
shptyp,1;general cargo vessel;2;container vessel;3;tanker;4;sailing vessel;5;fishing vessel;6;special purpose vessel.;7;man of War;8;submarine;9;high speed craft;10;bulk carrier;11;seaplane;12;tugboat;13;passenger vessel;14;ferry;15;boat
