"Code","Attribute","Acronym","Attributetype","Class"
1,Agency responsible for production,AGENCY,A,F
2,Beacon shape,BCNSHP,E,F
3,Building shape,BUISHP,E,F
4,Buoy shape,BOYSHP,E,F
5,Buried depth,BURDEP,F,F
6,Call sign,CALSGN,S,F
7,Category of airport/airfield,CATAIR,L,F
8,Category of anchorage,CATACH,L,F
9,Category of bridge,CATBRG,L,F
10,Category of built-up area,CATBUA,E,F
11,Category of cable,CATCBL,E,F
12,Category of canal,CATCAN,E,F
13,Category of cardinal mark,CATCAM,E,F
14,Category of checkpoint,CATCHP,E,F
15,Category of coastline,CATCOA,E,F
16,Category of control point,CATCTR,E,F
17,Category of conveyor,CATCON,E,F
18,Category of coverage,CATCOV,E,F
19,Category of crane,CATCRN,E,F
20,Category of dam,CATDAM,E,F
21,Category of distance mark,CATDIS,E,F
22,Category of dock,CATDOC,E,F
23,Category of dumping ground,CATDPG,L,F
24,Category of fence/wall,CATFNC,E,F
25,Category of ferry,CATFRY,E,F
26,Category of fishing facility,CATFIF,E,F
27,Category of fog signal,CATFOG,E,F
28,Category of fortified structure,CATFOR,E,F
29,Category of gate,CATGAT,E,F
30,Category of harbour facility,CATHAF,L,F
31,Category of hulk,CATHLK,L,F
32,Category of ice,CATICE,E,F
33,Category of installation buoy,CATINB,E,F
34,Category of land region,CATLND,L,F
35,Category of landmark,CATLMK,L,F
36,Category of lateral mark,CATLAM,E,F
37,Category of light,CATLIT,L,F
38,Category of marine farm/culture,CATMFA,E,F
39,Category of military practice area,CATMPA,L,F
40,Category of mooring/warping facility,CATMOR,E,F
41,Category of navigation line,CATNAV,E,F
42,Category of obstruction,CATOBS,E,F
43,Category of offshore platform,CATOFP,L,F
44,Category of oil barrier,CATOLB,E,F
45,Category of pile,CATPLE,E,F
46,Category of pilot boarding place,CATPIL,E,F
47,Category of pipeline / pipe,CATPIP,L,F
48,Category of production area,CATPRA,E,F
49,Category of pylon,CATPYL,E,F
50,Category of quality of data,CATQUA,E,F
51,Category of radar station,CATRAS,E,F
52,Category of radar transponder beacon,CATRTB,E,F
53,Category of radio station,CATROS,L,F
54,Category of recommended track,CATTRK,E,F
55,Category of rescue station,CATRSC,L,F
56,Category of restricted area,CATREA,L,F
57,Category of road,CATROD,E,F
58,Category of runway,CATRUN,E,F
59,Category of sea area,CATSEA,E,F
60,Category of shoreline construction,CATSLC,E,F
61,Category of signal station - traffic,CATSIT,L,F
62,Category of signal station - warning,CATSIW,L,F
63,Category of silo/tank,CATSIL,E,F
64,Category of slope,CATSLO,E,F
65,Category of small craft facility,CATSCF,L,F
66,Category of special purpose mark,CATSPM,L,F
67,Category of Traffic Separation Scheme,CATTSS,E,F
68,Category of vegetation,CATVEG,L,F
69,Category of water turbulence,CATWAT,E,F
70,Category of weed/kelp,CATWED,E,F
71,Category of wreck,CATWRK,E,F
72,Category of zone of confidence data,CATZOC,E,F
73,Character spacing,$SPACE,E,$
74,Character specification,$CHARS,A,$
75,Colour,COLOUR,L,F
76,Colour pattern,COLPAT,L,F
77,Communication channel,COMCHA,A,F
78,Compass size,$CSIZE,F,$
79,Compilation date,CPDATE,A,F
80,Compilation scale,CSCALE,I,F
81,Condition,CONDTN,E,F
82,Conspicuous - Radar,CONRAD,E,F
83,Conspicuous - Visual,CONVIS,E,F
84,Current velocity,CURVEL,F,F
85,Date end,DATEND,A,F
86,Date start,DATSTA,A,F
87,Depth range value 1,DRVAL1,F,F
88,Depth range value 2,DRVAL2,F,F
89,Depth units,DUNITS,E,F
90,Elevation,ELEVAT,F,F
91,Estimated range of transmission,ESTRNG,F,F
92,Exhibition condition of light,EXCLIT,E,F
93,Exposition of sounding,EXPSOU,E,F
94,Function,FUNCTN,L,F
95,Height,HEIGHT,F,F
96,Height/length units,HUNITS,E,F
97,Horizontal accuracy,HORACC,F,F
98,Horizontal clearance,HORCLR,F,F
99,Horizontal length,HORLEN,F,F
100,Horizontal width,HORWID,F,F
101,Ice factor,ICEFAC,F,F
102,Information,INFORM,S,F
103,Jurisdiction,JRSDTN,E,F
104,Justification - horizontal,$JUSTH,E,$
105,Justification - vertical,$JUSTV,E,$
106,Lifting capacity,LIFCAP,F,F
107,Light characteristic,LITCHR,E,F
108,Light visibility,LITVIS,L,F
109,Marks navigational - System of,MARSYS,E,F
110,Multiplicity of lights,MLTYLT,I,F
111,Nationality,NATION,A,F
112,Nature of construction,NATCON,L,F
113,Nature of surface,NATSUR,L,F
114,Nature of surface - qualifying terms,NATQUA,L,F
115,Notice to Mariners date,NMDATE,A,F
116,Object name,OBJNAM,S,F
117,Orientation,ORIENT,F,F
118,Periodic date end,PEREND,A,F
119,Periodic date start,PERSTA,A,F
120,Pictorial representation,PICREP,S,F
121,Pilot district,PILDST,S,F
122,Producing country,PRCTRY,A,F
123,Product,PRODCT,L,F
124,Publication reference,PUBREF,S,F
125,Quality of sounding measurement,QUASOU,L,F
126,Radar wave length,RADWAL,A,F
127,Radius,RADIUS,F,F
128,Recording date,RECDAT,A,F
129,Recording indication,RECIND,A,F
130,Reference year for magnetic variation,RYRMGV,A,F
131,Restriction,RESTRN,L,F
132,Scale maximum,SCAMAX,I,F
133,Scale minimum,SCAMIN,I,F
134,Scale value one,SCVAL1,I,F
135,Scale value two,SCVAL2,I,F
136,Sector limit one,SECTR1,F,F
137,Sector limit two,SECTR2,F,F
138,Shift parameters,SHIPAM,A,F
139,Signal frequency,SIGFRQ,I,F
140,Signal generation,SIGGEN,E,F
141,Signal group,SIGGRP,A,F
142,Signal period,SIGPER,F,F
143,Signal sequence,SIGSEQ,A,F
144,Sounding accuracy,SOUACC,F,F
145,Sounding distance - maximum,SDISMX,I,F
146,Sounding distance - minimum,SDISMN,I,F
147,Source date,SORDAT,A,F
148,Source indication,SORIND,A,F
149,Status,STATUS,L,F
150,Survey authority,SURATH,S,F
151,Survey date - end,SUREND,A,F
152,Survey date - start,SURSTA,A,F
153,Survey type,SURTYP,L,F
154,Symbol scaling factor,$SCALE,F,$
155,Symbolization code,$SCODE,A,$
156,Technique of sounding measurement,TECSOU,L,F
157,Text string,$TXSTR,S,$
158,Textual description,TXTDSC,S,F
159,Tidal stream - panel values,TS_TSP,A,F
160,Tidal stream current - time series values,TS_TSV,A,F
161,Tide - accuracy of water level,T_ACWL,E,F
162,Tide - high and low water values,T_HWLW,A,F
163,Tide - method of tidal prediction,T_MTOD,E,F
164,Tide - time and height differences,T_THDF,A,F
165,Tide current - time interval of values,T_TINT,I,F
166,Tide - time series values,T_TSVL,A,F
167,Tide - value of harmonic constituents,T_VAHC,A,F
168,Time end,TIMEND,A,F
169,Time start,TIMSTA,A,F
170,Tint,$TINTS,E,$
171,Topmark/daymark shape,TOPSHP,E,F
172,Traffic flow,TRAFIC,E,F
173,Value of annual change in magnetic variation,VALACM,F,F
174,Value of depth contour,VALDCO,F,F
175,Value of local magnetic anomaly,VALLMA,F,F
176,Value of magnetic variation,VALMAG,F,F
177,Value of maximum range,VALMXR,F,F
178,Value of nominal range,VALNMR,F,F
179,Value of sounding,VALSOU,F,F
180,Vertical accuracy,VERACC,F,F
181,Vertical clearance,VERCLR,F,F
182,Vertical clearance - closed,VERCCL,F,F
183,Vertical clearance - open,VERCOP,F,F
184,Vertical clearance - safe,VERCSA,F,F
185,Vertical datum,VERDAT,E,F
186,Vertical length,VERLEN,F,F
187,Water level effect,WATLEV,E,F
188,Category of Tidal stream,CAT_TS,E,F
189,Positional accuracy units,PUNITS,E,F
300,Information in national language,NINFOM,S,N
301,Object name in national language,NOBJNM,S,N
302,Pilot district in national language,NPLDST,S,N
303,Text string in national language,$NTXST,S,N
304,Textual description in national language,NTXTDS,S,N
400,Horizontal datum,HORDAT,E,S
401,Positional Accuracy,POSACC,F,S
402,Quality of position,QUAPOS,E,S
17000,Category of anchorage,catach,L,F
17001,Category of distance mark,catdis,E,F
17002,Category of signal station. traffic,catsit,L,F
17003,Category of signal station. warning,catsiw,L,F
17004,Restriction,restrn,L,F
17005,Vertical datum,verdat,E,F
17006,Category of bridge,catbrg,L,F
17007,Category of ferry,catfry,E,F
17008,Category of harbour facility,cathaf,L,F
17009,Marks navigational - System of,marsys,E,F
17010,Category of checkpoint,catchp,L,F
17011,Category of lateral mark,catlam,E,F
17012,Category of shoreline construction,catslc,E,F
17050,additional mark,addmrk,L,F
17051,Category of bank,catbnk,E,F
17052,category of notice mark,catnmk,E,F
17055,class of dangerous cargo,clsdng,E,F
17056,direction of impact,dirimp,L,F
17057,Distance from notice mark. first,disbk1,F,F
17058,Distance from notice mark. second,disbk2,F,F
17059,Distance of impact. upstream,disipu,F,F
17060,Distance of impact. downstream,disipd,F,F
17061,Elevation 1 of surface (m),eleva1,F,F
17062,Elevation 2 of surface (m),eleva2,F,F
17063,Function of notice mark,fnctnm,E,F
17064,waterway distance,wtwdis,F,F
17065,bunker vessel. availability,bunves,E,F
17066,category of berth,catbrt,L,F
17067,category of bunker station,catbun,L,F
17068,category of CEMT class,catccl,L,F
17069,Category of communication,catcom,L,F
17070,category of harbour area,cathbr,L,F
17071,category of refuse dump,catrfd,L,F
17072,Category of terminal,cattml,L,F
17073,Communication,comctn,S,F
17074,Horizontal clearance length,horcll,F,F
17075,Horizontal clearance width,horclw,F,F
17076,transshipping goods,trshgd,L,F
17077,UN location code,unlocd,S,F
17078,Category of waterway gauge,catgag,L,F
17080,Value at relevant high water level,higwat,F,F
17081,Name of relevant high water level,hignam,S,F
17082,Value at relevant low water level,lowwat,F,F
17083,Name of relevant low water level,lownam,S,F
17084,Value at relevant mean water level,meawat,F,F
17085,Name of relevant mean water level,meanam,S,F
17086,Value at other locally relevant water level,othwat,F,F
17087,Name of other locally relevant water level,othnam,S,F
17088,Reference gravitational level,reflev,E,F
17089,Name of Sounding datum reference level,sdrlev,S,F
17090,Name of vertical river datum reference level,vcrlev,S,F
17091,Category of vehicle transfer,catvtr,L,F
17092,Category of time and behaviour,cattab,E,F
17093,Time Schedule Reference,schref,S,F
17094,Use of Ship,useshp,E,F
17095,Current velocity at high water level,curvhw,F,F
17096,Current velocity at low water level,curvlw,F,F
17097,Current velocity at mean water level,curvmw,F,F
17098,Current velocity at other water level,curvow,F,F
17099,Average Passing Time Reference,aptref,S,F
17100,Category of exceptional structure,catexs,E,F
17101,Category of cable,catcbl,E,F
17102,Category of hulk,cathlk,L,F
17103,Height/length units,hunits,E,F
17104,Water level effect,watlev,E,F
17112,Category of waterway mark,catwwm,E,F
18001,Maximal permitted speed,lg_spd,F,F
18002,speed reference,lg_spr,L,F
18003,Maximal permitted beam,lg_bme,F,F
18004,Maximal permitted length,lg_lgs,F,F
18005,Maximal permitted draught,lg_drt,F,F
18006,Maximal permitted water displacement,lg_wdp,F,F
18007,water displacement unit,lg_wdu,E,F
18008,related issue,lg_rel,L,F
18009,Function of legal conditions,lg_fnc,L,F
18010,Description of legal conditions,lg_des,S,F
18011,Publication reference,lg_pbr,S,F
18012,category of ship (including),lc_csi,L,F
18013,category of ship (excluding),lc_cse,L,F
18014,Assemblies of ship (including),lc_asi,L,F
18015,Assemblies of ship (excluding),lc_ase,L,F
18016,Category of cargo (including),lc_cci,L,F
18017,Category of cargo (excluding),lc_cce,L,F
18018,Beam range value 1,lc_bm1,F,F
18019,Beam range value 2,lc_bm2,F,F
18020,Length range value 1,lc_lg1,F,F
18021,Length range value 2,lc_lg2,F,F
18022,Draught range value 1,lc_dr1,F,F
18023,Draught range value 2,lc_dr2,F,F
18024,Speed range value 1,lc_sp1,F,F
18025,Speed range value 2,lc_sp2,F,F
18026,Water displacement range value 1,lc_wd1,F,F
18027,Water displacement value 2,lc_wd2,F,F
22031,Annotation Attribute 1,ANATR1,S,F
22032,Annotation Attribute 2,ANATR2,S,F
22033,Annotation Attribute 3,ANATR3,S,F
22034,Annotation Attribute 4,ANATR4,S,F
22035,Annotation Attribute 5,ANATR5,S,F
22036,Annotation Attribute 6,ANATR6,S,F
22037,Annotation Attribute 7,ANATR7,S,F
22038,Annotation Attribute 8,ANATR8,S,F
22039,Annotation Attribute 9,ANATR9,S,F
22040,Annotation Attribute a,ANATRA,S,F
22076,Annotation Text,ANTXT1,S,F
22135,Annotation Layer,ANLYR1,S,F
22227,New type 1,NEWTY1,S,F
33066,Type of Ship,shptyp,E,F
40000,Update message,updmsg,S,F
50000,Geometry Primitive Category,catgeo,E,F




